id,text,created_at,like_count,retweet_count,reply_count,quote_count
1780890647320256993,"For #FCBayern  forward we go with same determination
Not impossible to overcome #RealMadrid ...It is all football spirit!! :)",2024-04-18 09:26:32+00:00,3906,474,219,48
1780723786842591723,Even when they bow out they are still my Club- #Arsenal. Congratulations- #FCBayernM.!!!,2024-04-17 22:23:29+00:00,12354,1740,832,203
1772755087317741890,"Mes sincères félicitations à Bassirou Diomaye Faye pour son élection comme Président du Sénégal. Votre victoire est un véritable témoignage de la confiance du peuple sénégalais, que je félicite pour le déroulement pacifique des élections. Je me réjouis de renforcer davantage les",2024-03-26 22:38:43+00:00,7461,1133,788,123
1754282751488868708,"My deepest condolences to my sister @KalondoMonica, the entire family and the people of Namibia for the passing of my brother and friend President Hage Geingob. His leadership through Namibia’s liberation struggle, his tireless work in service of his people and his commitment to",2024-02-04 23:16:15+00:00,5672,993,957,150
1744697338793177456,"Thank you my brother Your Majesty King Abdullah II @KingAbdullahII. It was a pleasure to welcome you to Rwanda and we thank you for your visit. 
Rwanda and the Hashemite Kingdom of Jordan share common values and aspirations for development rooted in peace, justice and security. I https://t.co/nGL6qKlYOs",2024-01-09 12:27:15+00:00,4631,1059,379,27
1724119900795310203,Evening well spent :) :) https://t.co/sUhgasBaTz,2023-11-13 17:39:51+00:00,21123,1959,1494,295
1716542809778368913,"To all well-wishers,friends and family...Thank you so very much for the WISHES on my BD! Bless.",2023-10-23 19:51:12+00:00,8011,1066,819,66
1700614694157930866,"On behalf of all Rwandans, I express our deepest sympathy and solidarity with King Mohammed VI, the families of the victims and the people of Morocco in this moment of profound tragedy. Rwanda stands with Morocco in this difficult time.",2023-09-09 20:58:33+00:00,7409,1466,366,29
1688239714245963776,Congrats. #Arsenal. Shows what's to come!! You can only LUV it!!,2023-08-06 17:24:48+00:00,18929,3112,748,257
1683116577632206853,"This afternoon, I expressed our sincere condolences to HH @TamimBinHamad and his family for the passing of Sheikh Mohammed bin Hamad bin Abdullah bin Jassim Al-Thani. May his soul rest in peace.",2023-07-23 14:07:17+00:00,2594,478,163,8
1681981532305600512,Hanging out with my GIRLS for their BD. Same day 19 July!!! LUV https://t.co/c7LjgKhvU4,2023-07-20 10:57:01+00:00,26079,2496,1267,215
1681035531537326080,"It is a pleasure to host the first Women Deliver conference in Africa and to have joined thousands of you earlier today at the opening of this impactful gathering.

Our history as a nation has shown us that change does not happen overnight, but with commitment, solidarity and",2023-07-17 20:17:57+00:00,4373,1184,224,44
1676322927132672000,"Happy Liberation Day! As we celebrate Rwanda’s achievements in the last 29 years, we pay tribute to those who sacrificed their lives for every citizen of Rwanda to live a dignified life.

To the young generation, it is your time to pick up from where the country has been brought",2023-07-04 20:11:45+00:00,6405,1957,440,102
1672181025621827584,"Congratulations to my brother President Filipe Nyusi and the people of Mozambique on the successful implementation of the Disarmament, Demobilization and Reintegration of Renamo ex combatants, marking an important milestone towards completion of the Mozambican peace process. I",2023-06-23 09:53:18+00:00,3649,799,216,19
1658174569897656320,Thank you to all the leaders and friends who sent condolence messages following the loss of lives from the devastating floods and landslides in Rwanda. We are grateful for your solidarity and support to the people of Rwanda. As we work to rebuild and provide assistance to the,2023-05-15 18:16:39+00:00,4931,1110,362,17
1656456580076912640,https://t.co/r2MRVtQ7CU,2023-05-11 00:29:58+00:00,2195,281,105,13
1653904826261032962,Let me thank our security and armed forces together with civil and other instit's notably among them religious ones for the incredible work they have been doing all around the clock to help manage the disastrous weather effects y'day&amp; continuing!!! United alwz we shall prevail!!,2023-05-03 23:30:13+00:00,6303,1415,237,40
1653776712054743043,"My deepest condolences to the families and loved ones of the victims of the landslides and floods that occurred last night in the Western, Northern and Southern Provinces. We are doing everything within our means to address this difficult situation. I am personally following up",2023-05-03 15:01:08+00:00,3578,1087,179,40
